"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	22585	6239481	362.0
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	24303	6188175	392.7
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	25861	6177372	418.6
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	27942	6108960	457.4
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	30207	6060353	498.4
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	32109	5961787	538.6
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	33894	5863953	578.0
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	35818	5774089	620.3
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	37446	5637581	664.2
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	39918	5530866	721.7
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	41104	5354809	767.6
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	42732	5200005	821.8
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	44800	5022779	891.9
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	46573	4828435	964.6
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	47752	4647446	1027.5
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	49189	4438125	1108.3
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	50456	4248371	1187.7
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	52325	4056728	1289.8
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	52751	3865088	1364.8
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	53926	3673972	1467.8
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	55102	3499417	1574.6
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	55737	3314137	1681.8
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	56944	3147167	1809.4
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	57575	2975113	1935.2
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	59375	2817708	2107.2
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	60148	2657951	2262.9
	"Black or African American"	"2054-5"	"Female"	"F"	"71 years"	"71"	61438	2511997	2445.8
	"Black or African American"	"2054-5"	"Female"	"F"	"72 years"	"72"	62989	2365401	2662.9
	"Black or African American"	"2054-5"	"Female"	"F"	"73 years"	"73"	63589	2231730	2849.3
	"Black or African American"	"2054-5"	"Female"	"F"	"74 years"	"74"	65083	2100612	3098.3
	"Black or African American"	"2054-5"	"Female"	"F"	"75 years"	"75"	67232	1985583	3386.0
	"Black or African American"	"2054-5"	"Female"	"F"	"76 years"	"76"	69190	1880846	3678.7
	"Black or African American"	"2054-5"	"Female"	"F"	"77 years"	"77"	70972	1770724	4008.1
	"Black or African American"	"2054-5"	"Female"	"F"	"78 years"	"78"	72220	1657726	4356.6
	"Black or African American"	"2054-5"	"Female"	"F"	"79 years"	"79"	73610	1551699	4743.8
	"Black or African American"	"2054-5"	"Female"	"F"	"80 years"	"80"	75177	1445085	5202.3
	"Black or African American"	"2054-5"	"Female"	"F"	"81 years"	"81"	76026	1338383	5680.4
	"Black or African American"	"2054-5"	"Female"	"F"	"82 years"	"82"	77042	1232825	6249.2
	"Black or African American"	"2054-5"	"Female"	"F"	"83 years"	"83"	76764	1130621	6789.5
	"Black or African American"	"2054-5"	"Female"	"F"	"84 years"	"84"	76459	1028800	7431.9
	"Black or African American"	"2054-5"	"Female"	"F"	"85 years"	"85"	76100	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"86 years"	"86"	75070	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"87 years"	"87"	73177	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"88 years"	"88"	69971	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"89 years"	"89"	67762	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"90 years"	"90"	63499	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"91 years"	"91"	58750	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"92 years"	"92"	53538	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"93 years"	"93"	48174	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"94 years"	"94"	42294	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"95 years"	"95"	36434	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"96 years"	"96"	30778	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"97 years"	"97"	25222	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"98 years"	"98"	20154	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"99 years"	"99"	15997	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"100+ years"	"100"	43092	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	169	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"0"	91826	6707957	1368.9
	"Black or African American"	"2054-5"	"Male"	"M"	"1 year"	"1"	5273	6701154	78.7
	"Black or African American"	"2054-5"	"Male"	"M"	"2 years"	"2"	3373	6696789	50.4
	"Black or African American"	"2054-5"	"Male"	"M"	"3 years"	"3"	2541	6704171	37.9
	"Black or African American"	"2054-5"	"Male"	"M"	"4 years"	"4"	2023	6765116	29.9
	"Black or African American"	"2054-5"	"Male"	"M"	"5 years"	"5"	1748	6803096	25.7
	"Black or African American"	"2054-5"	"Male"	"M"	"6 years"	"6"	1485	6825681	21.8
	"Black or African American"	"2054-5"	"Male"	"M"	"7 years"	"7"	1432	6875275	20.8
	"Black or African American"	"2054-5"	"Male"	"M"	"8 years"	"8"	1467	6923869	21.2
	"Black or African American"	"2054-5"	"Male"	"M"	"9 years"	"9"	1490	7011113	21.3
	"Black or African American"	"2054-5"	"Male"	"M"	"10 years"	"10"	1584	7169393	22.1
	"Black or African American"	"2054-5"	"Male"	"M"	"11 years"	"11"	1679	7137638	23.5
	"Black or African American"	"2054-5"	"Male"	"M"	"12 years"	"12"	1794	7180097	25.0
	"Black or African American"	"2054-5"	"Male"	"M"	"13 years"	"13"	2196	7168137	30.6
	"Black or African American"	"2054-5"	"Male"	"M"	"14 years"	"14"	2809	7167786	39.2
	"Black or African American"	"2054-5"	"Male"	"M"	"15 years"	"15"	4159	7202714	57.7
	"Black or African American"	"2054-5"	"Male"	"M"	"16 years"	"16"	5915	7250793	81.6
	"Black or African American"	"2054-5"	"Male"	"M"	"17 years"	"17"	8373	7272584	115.1
	"Black or African American"	"2054-5"	"Male"	"M"	"18 years"	"18"	11760	7280921	161.5
	"Black or African American"	"2054-5"	"Male"	"M"	"19 years"	"19"	13544	7273342	186.2
	"Black or African American"	"2054-5"	"Male"	"M"	"20 years"	"20"	14166	7163232	197.8
	"Black or African American"	"2054-5"	"Male"	"M"	"21 years"	"21"	15121	7051932	214.4
	"Black or African American"	"2054-5"	"Male"	"M"	"22 years"	"22"	15513	6913692	224.4
	"Black or African American"	"2054-5"	"Male"	"M"	"23 years"	"23"	15537	6762573	229.7
	"Black or African American"	"2054-5"	"Male"	"M"	"24 years"	"24"	15616	6637237	235.3
	"Black or African American"	"2054-5"	"Male"	"M"	"25 years"	"25"	15489	6519296	237.6
	"Black or African American"	"2054-5"	"Male"	"M"	"26 years"	"26"	15507	6340221	244.6
	"Black or African American"	"2054-5"	"Male"	"M"	"27 years"	"27"	15508	6233759	248.8
	"Black or African American"	"2054-5"	"Male"	"M"	"28 years"	"28"	15518	6104787	254.2
	"Black or African American"	"2054-5"	"Male"	"M"	"29 years"	"29"	15667	5987698	261.7
	"Black or African American"	"2054-5"	"Male"	"M"	"30 years"	"30"	15572	5935719	262.3
	"Black or African American"	"2054-5"	"Male"	"M"	"31 years"	"31"	15542	5767260	269.5
	"Black or African American"	"2054-5"	"Male"	"M"	"32 years"	"32"	15604	5724047	272.6
	"Black or African American"	"2054-5"	"Male"	"M"	"33 years"	"33"	15954	5661245	281.8
	"Black or African American"	"2054-5"	"Male"	"M"	"34 years"	"34"	16816	5648880	297.7
	"Black or African American"	"2054-5"	"Male"	"M"	"35 years"	"35"	17098	5667379	301.7
	"Black or African American"	"2054-5"	"Male"	"M"	"36 years"	"36"	17738	5624192	315.4
	"Black or African American"	"2054-5"	"Male"	"M"	"37 years"	"37"	19035	5615466	339.0
	"Black or African American"	"2054-5"	"Male"	"M"	"38 years"	"38"	19889	5592785	355.6
	"Black or African American"	"2054-5"	"Male"	"M"	"39 years"	"39"	20926	5616393	372.6
	"Black or African American"	"2054-5"	"Male"	"M"	"40 years"	"40"	21929	5621482	390.1
	"Black or African American"	"2054-5"	"Male"	"M"	"41 years"	"41"	23500	5578533	421.3
	"Black or African American"	"2054-5"	"Male"	"M"	"42 years"	"42"	24858	5591437	444.6
	"Black or African American"	"2054-5"	"Male"	"M"	"43 years"	"43"	26956	5572158	483.8
	"Black or African American"	"2054-5"	"Male"	"M"	"44 years"	"44"	28891	5537610	521.7
	"Black or African American"	"2054-5"	"Male"	"M"	"45 years"	"45"	31057	5522254	562.4
	"Black or African American"	"2054-5"	"Male"	"M"	"46 years"	"46"	33384	5473583	609.9
	"Black or African American"	"2054-5"	"Male"	"M"	"47 years"	"47"	36270	5451291	665.3
	"Black or African American"	"2054-5"	"Male"	"M"	"48 years"	"48"	38996	5379723	724.9
	"Black or African American"	"2054-5"	"Male"	"M"	"49 years"	"49"	41833	5329794	784.9
	"Black or African American"	"2054-5"	"Male"	"M"	"50 years"	"50"	44554	5231068	851.7
	"Black or African American"	"2054-5"	"Male"	"M"	"51 years"	"51"	47599	5133770	927.2
	"Black or African American"	"2054-5"	"Male"	"M"	"52 years"	"52"	50929	5033292	1011.8
	"Black or African American"	"2054-5"	"Male"	"M"	"53 years"	"53"	53020	4894942	1083.2
	"Black or African American"	"2054-5"	"Male"	"M"	"54 years"	"54"	56704	4786126	1184.8
	"Black or African American"	"2054-5"	"Male"	"M"	"55 years"	"55"	59464	4603449	1291.7
	"Black or African American"	"2054-5"	"Male"	"M"	"56 years"	"56"	61599	4437663	1388.1
	"Black or African American"	"2054-5"	"Male"	"M"	"57 years"	"57"	64404	4261452	1511.3
	"Black or African American"	"2054-5"	"Male"	"M"	"58 years"	"58"	65846	4066904	1619.1
	"Black or African American"	"2054-5"	"Male"	"M"	"59 years"	"59"	67929	3875398	1752.8
	"Black or African American"	"2054-5"	"Male"	"M"	"60 years"	"60"	69152	3664919	1886.9
	"Black or African American"	"2054-5"	"Male"	"M"	"61 years"	"61"	70354	3480846	2021.2
	"Black or African American"	"2054-5"	"Male"	"M"	"62 years"	"62"	71750	3289071	2181.5
	"Black or African American"	"2054-5"	"Male"	"M"	"63 years"	"63"	72732	3100147	2346.1
	"Black or African American"	"2054-5"	"Male"	"M"	"64 years"	"64"	72993	2913422	2505.4
	"Black or African American"	"2054-5"	"Male"	"M"	"65 years"	"65"	72618	2742799	2647.6
	"Black or African American"	"2054-5"	"Male"	"M"	"66 years"	"66"	72433	2559960	2829.5
	"Black or African American"	"2054-5"	"Male"	"M"	"67 years"	"67"	71987	2403082	2995.6
	"Black or African American"	"2054-5"	"Male"	"M"	"68 years"	"68"	71822	2244095	3200.5
	"Black or African American"	"2054-5"	"Male"	"M"	"69 years"	"69"	71532	2094110	3415.9
	"Black or African American"	"2054-5"	"Male"	"M"	"70 years"	"70"	71434	1943675	3675.2
	"Black or African American"	"2054-5"	"Male"	"M"	"71 years"	"71"	70642	1811553	3899.5
	"Black or African American"	"2054-5"	"Male"	"M"	"72 years"	"72"	70477	1672507	4213.9
	"Black or African American"	"2054-5"	"Male"	"M"	"73 years"	"73"	69845	1543927	4523.9
	"Black or African American"	"2054-5"	"Male"	"M"	"74 years"	"74"	69049	1423896	4849.3
	"Black or African American"	"2054-5"	"Male"	"M"	"75 years"	"75"	68948	1313346	5249.8
	"Black or African American"	"2054-5"	"Male"	"M"	"76 years"	"76"	68720	1220802	5629.1
	"Black or African American"	"2054-5"	"Male"	"M"	"77 years"	"77"	67899	1115571	6086.5
	"Black or African American"	"2054-5"	"Male"	"M"	"78 years"	"78"	66623	1017188	6549.7
	"Black or African American"	"2054-5"	"Male"	"M"	"79 years"	"79"	65328	923230	7076.0
	"Black or African American"	"2054-5"	"Male"	"M"	"80 years"	"80"	64259	834076	7704.2
	"Black or African American"	"2054-5"	"Male"	"M"	"81 years"	"81"	61240	746266	8206.2
	"Black or African American"	"2054-5"	"Male"	"M"	"82 years"	"82"	59620	663378	8987.3
	"Black or African American"	"2054-5"	"Male"	"M"	"83 years"	"83"	56706	587213	9656.8
	"Black or African American"	"2054-5"	"Male"	"M"	"84 years"	"84"	53370	512709	10409.4
	"Black or African American"	"2054-5"	"Male"	"M"	"85 years"	"85"	50168	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"86 years"	"86"	46152	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"87 years"	"87"	42503	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"88 years"	"88"	38398	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"89 years"	"89"	34516	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"90 years"	"90"	30489	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"91 years"	"91"	25995	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"92 years"	"92"	22470	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"93 years"	"93"	18524	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"94 years"	"94"	15099	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"95 years"	"95"	12058	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"96 years"	"96"	9442	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"97 years"	"97"	6903	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"98 years"	"98"	5239	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"99 years"	"99"	3815	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"100+ years"	"100"	7947	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	410	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"0"	109941	22885225	480.4
	"White"	"2106-3"	"Female"	"F"	"1 year"	"1"	8300	22950778	36.2
	"White"	"2106-3"	"Female"	"F"	"2 years"	"2"	5246	23111132	22.7
	"White"	"2106-3"	"Female"	"F"	"3 years"	"3"	3909	23311094	16.8
	"White"	"2106-3"	"Female"	"F"	"4 years"	"4"	3203	23540790	13.6
	"White"	"2106-3"	"Female"	"F"	"5 years"	"5"	2908	23748470	12.2
	"White"	"2106-3"	"Female"	"F"	"6 years"	"6"	2694	23905543	11.3
	"White"	"2106-3"	"Female"	"F"	"7 years"	"7"	2495	24158341	10.3
	"White"	"2106-3"	"Female"	"F"	"8 years"	"8"	2603	24425192	10.7
	"White"	"2106-3"	"Female"	"F"	"9 years"	"9"	2472	24741924	10.0
	"White"	"2106-3"	"Female"	"F"	"10 years"	"10"	2506	25251067	9.9
	"White"	"2106-3"	"Female"	"F"	"11 years"	"11"	2633	25420755	10.4
	"White"	"2106-3"	"Female"	"F"	"12 years"	"12"	2959	25748848	11.5
	"White"	"2106-3"	"Female"	"F"	"13 years"	"13"	3610	25936868	13.9
	"White"	"2106-3"	"Female"	"F"	"14 years"	"14"	4514	26099456	17.3
	"White"	"2106-3"	"Female"	"F"	"15 years"	"15"	5713	26298243	21.7
	"White"	"2106-3"	"Female"	"F"	"16 years"	"16"	8368	26523866	31.5
	"White"	"2106-3"	"Female"	"F"	"17 years"	"17"	9434	26646532	35.4
	"White"	"2106-3"	"Female"	"F"	"18 years"	"18"	10996	26878209	40.9
	"White"	"2106-3"	"Female"	"F"	"19 years"	"19"	11403	27174727	42.0
	"White"	"2106-3"	"Female"	"F"	"20 years"	"20"	11721	27103405	43.2
	"White"	"2106-3"	"Female"	"F"	"21 years"	"21"	12737	27084459	47.0
	"White"	"2106-3"	"Female"	"F"	"22 years"	"22"	12758	27002873	47.2
	"White"	"2106-3"	"Female"	"F"	"23 years"	"23"	13240	26878083	49.3
	"White"	"2106-3"	"Female"	"F"	"24 years"	"24"	13862	26872411	51.6
	"White"	"2106-3"	"Female"	"F"	"25 years"	"25"	14490	26887126	53.9
	"White"	"2106-3"	"Female"	"F"	"26 years"	"26"	15357	26757381	57.4
	"White"	"2106-3"	"Female"	"F"	"27 years"	"27"	16064	26883839	59.8
	"White"	"2106-3"	"Female"	"F"	"28 years"	"28"	17278	26903214	64.2
	"White"	"2106-3"	"Female"	"F"	"29 years"	"29"	18386	26859967	68.5
	"White"	"2106-3"	"Female"	"F"	"30 years"	"30"	19476	27039496	72.0
	"White"	"2106-3"	"Female"	"F"	"31 years"	"31"	20451	26869015	76.1
	"White"	"2106-3"	"Female"	"F"	"32 years"	"32"	22068	27134051	81.3
	"White"	"2106-3"	"Female"	"F"	"33 years"	"33"	23453	27235271	86.1
	"White"	"2106-3"	"Female"	"F"	"34 years"	"34"	24951	27522657	90.7
	"White"	"2106-3"	"Female"	"F"	"35 years"	"35"	27345	27888318	98.1
	"White"	"2106-3"	"Female"	"F"	"36 years"	"36"	29553	28143017	105.0
	"White"	"2106-3"	"Female"	"F"	"37 years"	"37"	32106	28503947	112.6
	"White"	"2106-3"	"Female"	"F"	"38 years"	"38"	34785	28857942	120.5
	"White"	"2106-3"	"Female"	"F"	"39 years"	"39"	38194	29280329	130.4
	"White"	"2106-3"	"Female"	"F"	"40 years"	"40"	41500	29657506	139.9
	"White"	"2106-3"	"Female"	"F"	"41 years"	"41"	45295	29984589	151.1
	"White"	"2106-3"	"Female"	"F"	"42 years"	"42"	49700	30458160	163.2
	"White"	"2106-3"	"Female"	"F"	"43 years"	"43"	54924	30831430	178.1
	"White"	"2106-3"	"Female"	"F"	"44 years"	"44"	60566	31201173	194.1
	"White"	"2106-3"	"Female"	"F"	"45 years"	"45"	66225	31645093	209.3
	"White"	"2106-3"	"Female"	"F"	"46 years"	"46"	73069	31922887	228.9
	"White"	"2106-3"	"Female"	"F"	"47 years"	"47"	79550	32311684	246.2
	"White"	"2106-3"	"Female"	"F"	"48 years"	"48"	86548	32498759	266.3
	"White"	"2106-3"	"Female"	"F"	"49 years"	"49"	94169	32693049	288.0
	"White"	"2106-3"	"Female"	"F"	"50 years"	"50"	102513	32731261	313.2
	"White"	"2106-3"	"Female"	"F"	"51 years"	"51"	111093	32730100	339.4
	"White"	"2106-3"	"Female"	"F"	"52 years"	"52"	120781	32946872	366.6
	"White"	"2106-3"	"Female"	"F"	"53 years"	"53"	128908	32552403	396.0
	"White"	"2106-3"	"Female"	"F"	"54 years"	"54"	138576	32461089	426.9
	"White"	"2106-3"	"Female"	"F"	"55 years"	"55"	148819	32118968	463.3
	"White"	"2106-3"	"Female"	"F"	"56 years"	"56"	159940	31821399	502.6
	"White"	"2106-3"	"Female"	"F"	"57 years"	"57"	170283	31205016	545.7
	"White"	"2106-3"	"Female"	"F"	"58 years"	"58"	179457	30598599	586.5
	"White"	"2106-3"	"Female"	"F"	"59 years"	"59"	190044	29823394	637.2
	"White"	"2106-3"	"Female"	"F"	"60 years"	"60"	200967	29010375	692.7
	"White"	"2106-3"	"Female"	"F"	"61 years"	"61"	211653	28247149	749.3
	"White"	"2106-3"	"Female"	"F"	"62 years"	"62"	222980	27452504	812.2
	"White"	"2106-3"	"Female"	"F"	"63 years"	"63"	236248	26488080	891.9
	"White"	"2106-3"	"Female"	"F"	"64 years"	"64"	247665	25648204	965.6
	"White"	"2106-3"	"Female"	"F"	"65 years"	"65"	259495	24789903	1046.8
	"White"	"2106-3"	"Female"	"F"	"66 years"	"66"	271818	23905680	1137.0
	"White"	"2106-3"	"Female"	"F"	"67 years"	"67"	287081	23053369	1245.3
	"White"	"2106-3"	"Female"	"F"	"68 years"	"68"	302153	22247409	1358.1
	"White"	"2106-3"	"Female"	"F"	"69 years"	"69"	319984	21474433	1490.1
	"White"	"2106-3"	"Female"	"F"	"70 years"	"70"	341702	20684353	1652.0
	"White"	"2106-3"	"Female"	"F"	"71 years"	"71"	362472	19979468	1814.2
	"White"	"2106-3"	"Female"	"F"	"72 years"	"72"	386028	19201545	2010.4
	"White"	"2106-3"	"Female"	"F"	"73 years"	"73"	407626	18437945	2210.8
	"White"	"2106-3"	"Female"	"F"	"74 years"	"74"	429970	17574329	2446.6
	"White"	"2106-3"	"Female"	"F"	"75 years"	"75"	458740	16982921	2701.2
	"White"	"2106-3"	"Female"	"F"	"76 years"	"76"	489018	16423089	2977.6
	"White"	"2106-3"	"Female"	"F"	"77 years"	"77"	521482	15805418	3299.4
	"White"	"2106-3"	"Female"	"F"	"78 years"	"78"	553786	15112212	3664.5
	"White"	"2106-3"	"Female"	"F"	"79 years"	"79"	588298	14432040	4076.3
	"White"	"2106-3"	"Female"	"F"	"80 years"	"80"	625809	13747273	4552.2
	"White"	"2106-3"	"Female"	"F"	"81 years"	"81"	660130	13082914	5045.7
	"White"	"2106-3"	"Female"	"F"	"82 years"	"82"	700509	12340738	5676.4
	"White"	"2106-3"	"Female"	"F"	"83 years"	"83"	731511	11582615	6315.6
	"White"	"2106-3"	"Female"	"F"	"84 years"	"84"	765045	10786442	7092.7
	"White"	"2106-3"	"Female"	"F"	"85 years"	"85"	793728	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"86 years"	"86"	813284	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"87 years"	"87"	826497	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"88 years"	"88"	828767	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"89 years"	"89"	816642	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"90 years"	"90"	791829	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"91 years"	"91"	749892	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"92 years"	"92"	694371	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"93 years"	"93"	625851	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"94 years"	"94"	549585	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"95 years"	"95"	468715	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"96 years"	"96"	385492	Not Applicable	Not Applicable
