"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2003"	"2003"	189	288700	65.5	56.1	74.8	4.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2004"	"2004"	209	283082	73.8	63.8	83.8	5.1
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2005"	"2005"	189	284927	66.3	56.9	75.8	4.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2006"	"2006"	196	285462	68.7	59.0	78.3	4.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2007"	"2007"	207	292000	70.9	61.2	80.5	4.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2008"	"2008"	181	306564	59.0	50.4	67.6	4.4
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2009"	"2009"	203	308004	65.9	56.8	75.0	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2010"	"2010"	191	301236	63.4	54.4	72.4	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2011"	"2011"	190	300095	63.3	54.3	72.3	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2012"	"2012"	175	300805	58.2	49.6	66.8	4.4
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2013"	"2013"	176	299235	58.8	50.1	67.5	4.4
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2014"	"2014"	154	300070	51.3	43.2	59.4	4.1
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2015"	"2015"	164	302044	54.3	46.0	62.6	4.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2016"	"2016"	166	302656	54.8	46.5	63.2	4.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2017"	"2017"	186	300827	61.8	52.9	70.7	4.5
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2018"	"2018"	161	294704	54.6	46.2	63.1	4.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2019"	"2019"	178	288039	61.8	52.7	70.9	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2020 "	"2020"	166	292866	56.7	48.1	65.3	4.4
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"1999"	"1999"	141	282877	49.8	41.6	58.1	4.2
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2000"	"2000"	146	286215	51.0	42.7	59.3	4.2
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2001"	"2001"	115	283697	40.5	33.1	47.9	3.8
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2002"	"2002"	122	286087	42.6	35.1	50.2	3.9
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2003"	"2003"	143	295981	48.3	40.4	56.2	4.0
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2004"	"2004"	127	288839	44.0	36.3	51.6	3.9
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2005"	"2005"	99	283464	34.9	28.4	42.5	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2006"	"2006"	152	285501	53.2	44.8	61.7	4.3
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2007"	"2007"	128	286185	44.7	37.0	52.5	4.0
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2008"	"2008"	113	292885	38.6	31.5	45.7	3.6
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2009"	"2009"	109	307687	35.4	28.8	42.1	3.4
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2010"	"2010"	108	309440	34.9	28.3	41.5	3.4
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2011"	"2011"	115	300096	38.3	31.3	45.3	3.6
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2012"	"2012"	99	298293	33.2	27.0	40.4	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2013"	"2013"	99	299112	33.1	26.9	40.3	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2014"	"2014"	119	297939	39.9	32.8	47.1	3.7
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2015"	"2015"	104	298740	34.8	28.1	41.5	3.4
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2016"	"2016"	126	301419	41.8	34.5	49.1	3.7
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2017"	"2017"	115	302935	38.0	31.0	44.9	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2018"	"2018"	113	301602	37.5	30.6	44.4	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2019"	"2019"	110	294763	37.3	30.3	44.3	3.6
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2020 "	"2020"	104	299697	34.7	28.0	41.4	3.4
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"1999"	"1999"	106	284698	37.2	30.1	44.3	3.6
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2000"	"2000"	88	287829	30.6	24.5	37.7	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2001"	"2001"	98	286757	34.2	27.7	41.6	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2002"	"2002"	80	283844	28.2	22.3	35.1	3.2
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2003"	"2003"	99	286352	34.6	28.1	42.1	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2004"	"2004"	93	296458	31.4	25.3	38.4	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2005"	"2005"	80	289630	27.6	21.9	34.4	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2006"	"2006"	74	284471	26.0	20.4	32.7	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2007"	"2007"	89	286671	31.0	24.9	38.2	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2008"	"2008"	100	287549	34.8	28.0	41.6	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2009"	"2009"	92	294506	31.2	25.2	38.3	3.3
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2010"	"2010"	65	306977	21.2	16.3	27.0	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2011"	"2011"	73	309997	23.5	18.5	29.6	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2012"	"2012"	87	301022	28.9	23.1	35.7	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2013"	"2013"	77	298890	25.8	20.3	32.2	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2014"	"2014"	75	300227	25.0	19.6	31.3	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2015"	"2015"	80	298489	26.8	21.3	33.4	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2016"	"2016"	71	299798	23.7	18.5	29.9	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2017"	"2017"	69	302393	22.8	17.8	28.9	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2018"	"2018"	68	303939	22.4	17.4	28.4	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2019"	"2019"	81	301803	26.8	21.3	33.4	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2020 "	"2020"	86	299245	28.7	23.0	35.5	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"1999"	"1999"	88	305860	28.8	23.1	35.4	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2000"	"2000"	99	296725	33.4	27.1	40.6	3.4
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2001"	"2001"	71	288310	24.6	19.2	31.1	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2002"	"2002"	81	287985	28.1	22.3	35.0	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2003"	"2003"	57	285602	20.0	15.1	25.9	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2004"	"2004"	76	288694	26.3	20.7	33.0	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2005"	"2005"	91	299539	30.4	24.5	37.3	3.2
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2006"	"2006"	74	293286	25.2	19.8	31.7	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2007"	"2007"	69	288693	23.9	18.6	30.2	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2008"	"2008"	63	291459	21.6	16.6	27.7	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2009"	"2009"	74	292927	25.3	19.8	31.7	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2010"	"2010"	59	299217	19.7	15.0	25.4	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2011"	"2011"	58	308037	18.8	14.3	24.3	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2012"	"2012"	65	310997	20.9	16.1	26.6	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2013"	"2013"	73	301709	24.2	19.0	30.4	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2014"	"2014"	59	300093	19.7	15.0	25.4	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2015"	"2015"	60	300653	20.0	15.2	25.7	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2016"	"2016"	78	299517	26.0	20.6	32.5	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2017"	"2017"	80	300934	26.6	21.1	33.1	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2018"	"2018"	59	303533	19.4	14.8	25.1	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2019"	"2019"	72	304263	23.7	18.5	29.8	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2020 "	"2020"	57	302484	18.8	14.3	24.4	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"1999"	"1999"	78	315505	24.7	19.5	30.9	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2000"	"2000"	73	306833	23.8	18.6	29.9	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2001"	"2001"	54	294497	18.3	13.8	23.9	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2002"	"2002"	63	289265	21.8	16.7	27.9	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2003"	"2003"	63	289155	21.8	16.7	27.9	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2004"	"2004"	81	287012	28.2	22.4	35.1	3.1
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2005"	"2005"	64	290370	22.0	17.0	28.1	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2006"	"2006"	55	301510	18.2	13.7	23.7	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2007"	"2007"	54	295354	18.3	13.7	23.9	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2008"	"2008"	51	290909	17.5	13.1	23.1	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2009"	"2009"	65	293961	22.1	17.1	28.2	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2010"	"2010"	39	293849	13.3	9.4	18.1	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2011"	"2011"	50	301210	16.6	12.3	21.9	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2012"	"2012"	61	309069	19.7	15.1	25.4	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2013"	"2013"	62	311775	19.9	15.2	25.5	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2014"	"2014"	45	302924	14.9	10.8	19.9	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2015"	"2015"	53	300929	17.6	13.2	23.0	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2016"	"2016"	69	301563	22.9	17.8	29.0	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2017"	"2017"	52	300647	17.3	12.9	22.7	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2018"	"2018"	37	302069	12.2	8.6	16.9	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2019"	"2019"	53	303635	17.5	13.1	22.8	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2020 "	"2020"	63	306030	20.6	15.8	26.3	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"1999"	"1999"	83	322010	25.8	20.5	32.0	2.8
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2000"	"2000"	65	318100	20.4	15.8	26.0	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2001"	"2001"	56	305951	18.3	13.8	23.8	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2002"	"2002"	56	294696	19.0	14.4	24.7	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2003"	"2003"	61	289263	21.1	16.1	27.1	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2004"	"2004"	55	288926	19.0	14.3	24.8	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2005"	"2005"	56	286576	19.5	14.8	25.4	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2006"	"2006"	62	289738	21.4	16.4	27.4	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2007"	"2007"	53	300561	17.6	13.2	23.1	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2008"	"2008"	51	294198	17.3	12.9	22.8	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2009"	"2009"	50	289568	17.3	12.8	22.8	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2010"	"2010"	47	292446	16.1	11.8	21.4	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2011"	"2011"	52	295699	17.6	13.1	23.1	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2012"	"2012"	36	302257	11.9	8.3	16.5	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2013"	"2013"	53	309831	17.1	12.8	22.4	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2014"	"2014"	54	312942	17.3	13.0	22.5	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2015"	"2015"	46	303868	15.1	11.1	20.2	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2016"	"2016"	54	301740	17.9	13.4	23.4	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2017"	"2017"	53	302813	17.5	13.1	22.9	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2018"	"2018"	60	301778	19.9	15.2	25.6	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2019"	"2019"	62	302146	20.5	15.7	26.3	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2020 "	"2020"	38	305639	12.4	8.8	17.1	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"1999"	"1999"	65	329774	19.7	15.2	25.1	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2000"	"2000"	71	328060	21.6	16.9	27.3	2.6
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2001"	"2001"	57	316041	18.0	13.7	23.4	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2002"	"2002"	56	306748	18.3	13.8	23.7	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2003"	"2003"	50	295608	16.9	12.6	22.3	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2004"	"2004"	63	290254	21.7	16.7	27.8	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2005"	"2005"	62	290188	21.4	16.4	27.4	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2006"	"2006"	45	288048	15.6	11.4	20.9	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2007"	"2007"	40	291313	13.7	9.8	18.7	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2008"	"2008"	37	302244	12.2	8.6	16.9	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2009"	"2009"	36	296057	12.2	8.5	16.8	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2010"	"2010"	41	292040	14.0	10.1	19.0	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2011"	"2011"	49	293853	16.7	12.3	22.0	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2012"	"2012"	46	296636	15.5	11.4	20.7	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2013"	"2013"	49	302965	16.2	12.0	21.4	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2014"	"2014"	34	311014	10.9	7.6	15.3	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2015"	"2015"	57	313872	18.2	13.8	23.5	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2016"	"2016"	57	304615	18.7	14.2	24.2	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2017"	"2017"	46	302847	15.2	11.1	20.3	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2018"	"2018"	55	303904	18.1	13.6	23.6	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2019"	"2019"	59	301753	19.6	14.9	25.2	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2020 "	"2020"	50	304199	16.4	12.2	21.7	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"1999"	"1999"	66	330737	20.0	15.4	25.4	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2000"	"2000"	47	331166	14.2	10.4	18.9	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2001"	"2001"	47	326149	14.4	10.6	19.2	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2002"	"2002"	55	316746	17.4	13.1	22.6	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2003"	"2003"	53	307385	17.2	12.9	22.6	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2004"	"2004"	53	296229	17.9	13.4	23.4	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2005"	"2005"	51	290953	17.5	13.1	23.0	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2006"	"2006"	43	290884	14.8	10.7	19.9	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2007"	"2007"	46	288690	15.9	11.7	21.3	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2008"	"2008"	43	291902	14.7	10.7	19.8	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2009"	"2009"	39	302869	12.9	9.2	17.6	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2010"	"2010"	39	298078	13.1	9.3	17.9	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2011"	"2011"	37	291966	12.7	8.9	17.5	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2012"	"2012"	37	294873	12.5	8.8	17.3	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2013"	"2013"	42	297366	14.1	10.2	19.1	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2014"	"2014"	41	304301	13.5	9.7	18.3	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2015"	"2015"	42	311977	13.5	9.7	18.2	2.1
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2016"	"2016"	40	314711	12.7	9.1	17.3	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2017"	"2017"	45	305615	14.7	10.7	19.7	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2018"	"2018"	67	303879	22.0	17.1	28.0	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2019"	"2019"	51	303687	16.8	12.5	22.1	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2020 "	"2020"	54	303795	17.8	13.4	23.2	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"1999"	"1999"	69	337339	20.5	15.9	25.9	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2000"	"2000"	64	337378	19.0	14.6	24.2	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2001"	"2001"	71	331842	21.4	16.7	27.0	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2002"	"2002"	64	327932	19.5	15.0	24.9	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2003"	"2003"	49	318972	15.4	11.4	20.3	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2004"	"2004"	52	310022	16.8	12.5	22.0	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2005"	"2005"	58	299363	19.4	14.7	25.0	2.5
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2006"	"2006"	50	294549	17.0	12.6	22.4	2.4
