"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2018"	"2018"	2776	289594	958.6
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2019"	"2019"	2888	284243	1016.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2020 "	"2020"	2700	289028	934.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"1999"	"1999"	549	1157443	47.4
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2000"	"2000"	545	1157506	47.1
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2001"	"2001"	501	1144959	43.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2002"	"2002"	482	1153940	41.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2003"	"2003"	488	1156635	42.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2004"	"2004"	505	1157073	43.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2005"	"2005"	459	1157560	39.7
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2006"	"2006"	496	1148720	43.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2007"	"2007"	493	1153549	42.7
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2008"	"2008"	457	1178457	38.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2009"	"2009"	478	1203124	39.7
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2010"	"2010"	423	1216870	34.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2011"	"2011"	436	1218225	35.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2012"	"2012"	426	1211117	35.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2013"	"2013"	425	1198946	35.4
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2014"	"2014"	407	1198329	34.0
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2015"	"2015"	408	1199926	34.0
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2016"	"2016"	441	1203390	36.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2017"	"2017"	450	1207089	37.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2018"	"2018"	401	1203778	33.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2019"	"2019"	441	1188868	37.1
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2020 "	"2020"	413	1194292	34.6
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"1999"	"1999"	690	3167434	21.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2000"	"2000"	661	3189724	20.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2001"	"2001"	616	3202946	19.2
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2002"	"2002"	657	3202661	20.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2003"	"2003"	619	3192811	19.4
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2004"	"2004"	681	3167811	21.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2005"	"2005"	615	3127151	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2006"	"2006"	547	3103199	17.6
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2007"	"2007"	534	3076310	17.4
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2008"	"2008"	508	3049126	16.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2009"	"2009"	531	3034550	17.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2010"	"2010"	469	3030706	15.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2011"	"2011"	466	3025569	15.4
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2012"	"2012"	448	3034888	14.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2013"	"2013"	479	3043933	15.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2014"	"2014"	461	3050968	15.1
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2015"	"2015"	484	3043790	15.9
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2016"	"2016"	532	3039914	17.5
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2017"	"2017"	512	3049074	16.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2018"	"2018"	581	3060164	19.0
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2019"	"2019"	543	3067557	17.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5-14 years"	"5-14"	"2020 "	"2020"	529	3083950	17.2
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	1694	2799428	60.5
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2000"	"2000"	1702	2831875	60.1
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	1647	2905778	56.7
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2002"	"2002"	1656	2957737	56.0
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2003"	"2003"	1678	3011007	55.7
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2004"	"2004"	1685	3065345	55.0
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2005"	"2005"	1629	3120765	52.2
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2006"	"2006"	1656	3171817	52.2
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2007"	"2007"	1602	3220985	49.7
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2008"	"2008"	1669	3267835	51.1
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2009"	"2009"	1617	3304624	48.9
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2010"	"2010"	1513	3319205	45.6
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2011"	"2011"	1536	3345742	45.9
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2012"	"2012"	1553	3366865	46.1
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2013"	"2013"	1466	3372635	43.5
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2014"	"2014"	1490	3367586	44.2
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2015"	"2015"	1610	3342283	48.2
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2016"	"2016"	1794	3294240	54.5
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2017"	"2017"	1653	3251690	50.8
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2018"	"2018"	1625	3201996	50.7
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2019"	"2019"	1728	3163467	54.6
	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2020 "	"2020"	2289	3143038	72.8
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	3359	2752016	122.1
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	3454	2729999	126.5
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2001"	"2001"	3311	2693115	122.9
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	3286	2687193	122.3
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	3203	2683307	119.4
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	3204	2701278	118.6
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	3144	2714103	115.8
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	3092	2726529	113.4
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	2983	2748019	108.6
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	2868	2775106	103.3
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	2919	2812534	103.8
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	2815	2839351	99.1
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	2939	2890354	101.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	2793	2932865	95.2
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2013"	"2013"	2893	2981135	97.0
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	2875	3055628	94.1
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2015"	"2015"	3087	3127225	98.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	3406	3206458	106.2
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	3532	3293098	107.3
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2018"	"2018"	3719	3360161	110.7
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2019"	"2019"	3740	3420785	109.3
	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2020 "	"2020"	5041	3459490	145.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	8386	2928024	286.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	8218	2947420	278.8
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	8465	2967308	285.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	8294	2954869	280.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	8156	2939713	277.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	7685	2918480	263.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	7479	2903121	257.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	7337	2900185	253.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	6816	2885371	236.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	6509	2858721	227.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	6125	2817340	217.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	5832	2788664	209.1
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	5742	2754761	208.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	5597	2754386	203.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	5474	2756591	198.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	5707	2780848	205.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	5692	2800164	203.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	5879	2797793	210.1
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	6005	2826613	212.4
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2018"	"2018"	6187	2849171	217.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2019"	"2019"	6342	2879353	220.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2020 "	"2020"	8208	2917360	281.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	12351	2123125	581.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	13264	2206359	601.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	13791	2338690	589.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	14372	2427025	592.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	14876	2508152	593.1
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	14798	2583955	572.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	15352	2659853	577.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	15161	2725618	556.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	15205	2788991	545.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	15123	2847158	531.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	14996	2896554	517.7
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	14552	2925567	497.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	14213	2929318	485.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	13945	2913712	478.6
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	13688	2896386	472.6
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	13629	2875907	473.9
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	13360	2863655	466.5
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	13605	2854999	476.5
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	13045	2845566	458.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2018"	"2018"	12833	2811658	456.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2019"	"2019"	12540	2774547	452.0
	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2020 "	"2020"	15384	2745822	560.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"1999"	"1999"	16570	1289429	1285.1
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2000"	"2000"	16465	1317856	1249.4
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2001"	"2001"	16923	1360000	1244.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	17172	1428522	1202.1
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	17882	1500641	1191.6
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	17948	1584608	1132.6
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	18541	1674866	1107.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2006"	"2006"	19032	1766706	1077.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	19376	1854228	1045.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2008"	"2008"	19884	1938978	1025.5
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2009"	"2009"	20562	2037954	1009.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	21150	2121490	996.9
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	22025	2249214	979.2
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	22740	2332305	975.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	23836	2405774	990.8
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	24811	2479158	1000.8
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	25443	2549645	997.9
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2016"	"2016"	26320	2602528	1011.3
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2017"	"2017"	26946	2660844	1012.7
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2018"	"2018"	27146	2699093	1005.7
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2019"	"2019"	27146	2730944	994.0
	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2020 "	"2020"	33690	2750975	1224.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"1999"	"1999"	26308	943216	2789.2
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2000"	"2000"	25900	949415	2728.0
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2001"	"2001"	25357	963086	2632.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2002"	"2002"	24889	972387	2559.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2003"	"2003"	24626	986404	2496.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2004"	"2004"	23898	999456	2391.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2005"	"2005"	23863	1018383	2343.2
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2006"	"2006"	23309	1041139	2238.8
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2007"	"2007"	23513	1065530	2206.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2008"	"2008"	23567	1097809	2146.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2009"	"2009"	23567	1129394	2086.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2010"	"2010"	23870	1154227	2068.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2011"	"2011"	24147	1196557	2018.0
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2012"	"2012"	24750	1260777	1963.1
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2013"	"2013"	26075	1331246	1958.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2014"	"2014"	27106	1409606	1922.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2015"	"2015"	28451	1488908	1910.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2016"	"2016"	30327	1567841	1934.3
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2017"	"2017"	31625	1646695	1920.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2018"	"2018"	33235	1715869	1936.9
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2019"	"2019"	34103	1798969	1895.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2020 "	"2020"	45494	1884319	2414.3
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"1999"	"1999"	33082	571170	5792.0
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2000"	"2000"	33159	575818	5758.6
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2001"	"2001"	33509	592581	5654.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2002"	"2002"	34046	603490	5641.5
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2003"	"2003"	33473	613061	5460.0
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2004"	"2004"	33354	619972	5379.9
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2005"	"2005"	33596	627513	5353.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2006"	"2006"	32371	632037	5121.7
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2007"	"2007"	31875	637143	5002.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2008"	"2008"	31720	643996	4925.5
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2009"	"2009"	30995	649006	4775.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2010"	"2010"	30661	655779	4675.5
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2011"	"2011"	31306	675058	4637.5
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2012"	"2012"	30709	684084	4489.1
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2013"	"2013"	31642	699348	4524.5
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2014"	"2014"	31811	716232	4441.4
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2015"	"2015"	32521	736690	4414.5
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2016"	"2016"	33421	758737	4404.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2017"	"2017"	34337	785781	4369.8
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2018"	"2018"	34990	816332	4286.2
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2019"	"2019"	35779	850084	4208.9
	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2020 "	"2020"	46335	878380	5275.1
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"1999"	"1999"	31267	225142	13887.7
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2000"	"2000"	32229	229308	14054.9
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2001"	"2001"	32616	226836	14378.7
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2002"	"2002"	33143	225501	14697.5
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2003"	"2003"	33270	225873	14729.5
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2004"	"2004"	32462	228060	14234.0
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2005"	"2005"	33791	235430	14352.9
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2006"	"2006"	33050	241177	13703.6
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2007"	"2007"	33647	249077	13508.7
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2008"	"2008"	34402	257804	13344.2
	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2009"	"2009"	33543	267385	12544.8
