"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	4479	1496587	299.3
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	5025	1515020	331.7
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	5280	1499792	352.0
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	5737	1480226	387.6
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	6155	1472489	418.0
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	6753	1467268	460.2
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	7143	1436113	497.4
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	7670	1399380	548.1
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	8098	1351986	599.0
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	8243	1321212	623.9
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	8410	1261633	666.6
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	8484	1227503	691.2
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	8946	1187765	753.2
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	8955	1128147	793.8
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	9141	1098613	832.0
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	9449	1046601	902.8
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	9461	970315	975.0
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	9441	894436	1055.5
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	9329	816093	1143.1
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	9412	779514	1207.4
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	9612	724924	1325.9
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	9781	698682	1399.9
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	10200	662061	1540.6
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	10401	635305	1637.2
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	10346	601639	1719.6
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	10832	574915	1884.1
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	11154	554620	2011.1
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	11622	528479	2199.1
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	11918	501908	2374.5
	"Black or African American"	"2054-5"	"Female"	"F"	"71 years"	"71"	12152	488916	2485.5
	"Black or African American"	"2054-5"	"Female"	"F"	"72 years"	"72"	12948	465909	2779.1
	"Black or African American"	"2054-5"	"Female"	"F"	"73 years"	"73"	13090	446185	2933.8
	"Black or African American"	"2054-5"	"Female"	"F"	"74 years"	"74"	13687	424441	3224.7
	"Black or African American"	"2054-5"	"Female"	"F"	"75 years"	"75"	14122	400643	3524.8
	"Black or African American"	"2054-5"	"Female"	"F"	"76 years"	"76"	14692	387766	3788.9
	"Black or African American"	"2054-5"	"Female"	"F"	"77 years"	"77"	15452	367074	4209.5
	"Black or African American"	"2054-5"	"Female"	"F"	"78 years"	"78"	16083	353814	4545.6
	"Black or African American"	"2054-5"	"Female"	"F"	"79 years"	"79"	16481	332134	4962.2
	"Black or African American"	"2054-5"	"Female"	"F"	"80 years"	"80"	16734	306461	5460.4
	"Black or African American"	"2054-5"	"Female"	"F"	"81 years"	"81"	17201	290074	5929.9
	"Black or African American"	"2054-5"	"Female"	"F"	"82 years"	"82"	17519	264643	6619.9
	"Black or African American"	"2054-5"	"Female"	"F"	"83 years"	"83"	17218	240854	7148.7
	"Black or African American"	"2054-5"	"Female"	"F"	"84 years"	"84"	17414	217198	8017.6
	"Black or African American"	"2054-5"	"Female"	"F"	"85 years"	"85"	16793	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"86 years"	"86"	16234	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"87 years"	"87"	15453	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"88 years"	"88"	14602	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"89 years"	"89"	13790	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"90 years"	"90"	13029	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"91 years"	"91"	12383	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"92 years"	"92"	11117	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"93 years"	"93"	10041	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"94 years"	"94"	9007	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"95 years"	"95"	7603	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"96 years"	"96"	6232	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"97 years"	"97"	5010	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"98 years"	"98"	4036	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"99 years"	"99"	3226	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"100+ years"	"100"	8796	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	50	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"0"	23332	1528270	1526.7
	"Black or African American"	"2054-5"	"Male"	"M"	"1 year"	"1"	1255	1502499	83.5
	"Black or African American"	"2054-5"	"Male"	"M"	"2 years"	"2"	753	1482282	50.8
	"Black or African American"	"2054-5"	"Male"	"M"	"3 years"	"3"	613	1491544	41.1
	"Black or African American"	"2054-5"	"Male"	"M"	"4 years"	"4"	448	1508872	29.7
	"Black or African American"	"2054-5"	"Male"	"M"	"5 years"	"5"	410	1510353	27.1
	"Black or African American"	"2054-5"	"Male"	"M"	"6 years"	"6"	347	1505691	23.0
	"Black or African American"	"2054-5"	"Male"	"M"	"7 years"	"7"	325	1507826	21.6
	"Black or African American"	"2054-5"	"Male"	"M"	"8 years"	"8"	326	1508110	21.6
	"Black or African American"	"2054-5"	"Male"	"M"	"9 years"	"9"	329	1545810	21.3
	"Black or African American"	"2054-5"	"Male"	"M"	"10 years"	"10"	348	1642713	21.2
	"Black or African American"	"2054-5"	"Male"	"M"	"11 years"	"11"	366	1646263	22.2
	"Black or African American"	"2054-5"	"Male"	"M"	"12 years"	"12"	431	1695134	25.4
	"Black or African American"	"2054-5"	"Male"	"M"	"13 years"	"13"	534	1728914	30.9
	"Black or African American"	"2054-5"	"Male"	"M"	"14 years"	"14"	704	1753407	40.2
	"Black or African American"	"2054-5"	"Male"	"M"	"15 years"	"15"	1148	1779986	64.5
	"Black or African American"	"2054-5"	"Male"	"M"	"16 years"	"16"	1490	1773380	84.0
	"Black or African American"	"2054-5"	"Male"	"M"	"17 years"	"17"	2103	1739726	120.9
	"Black or African American"	"2054-5"	"Male"	"M"	"18 years"	"18"	2801	1700785	164.7
	"Black or African American"	"2054-5"	"Male"	"M"	"19 years"	"19"	3255	1634713	199.1
	"Black or African American"	"2054-5"	"Male"	"M"	"20 years"	"20"	3176	1560540	203.5
	"Black or African American"	"2054-5"	"Male"	"M"	"21 years"	"21"	3302	1523807	216.7
	"Black or African American"	"2054-5"	"Male"	"M"	"22 years"	"22"	3470	1472317	235.7
	"Black or African American"	"2054-5"	"Male"	"M"	"23 years"	"23"	3391	1432531	236.7
	"Black or African American"	"2054-5"	"Male"	"M"	"24 years"	"24"	3467	1398631	247.9
	"Black or African American"	"2054-5"	"Male"	"M"	"25 years"	"25"	3395	1365011	248.7
	"Black or African American"	"2054-5"	"Male"	"M"	"26 years"	"26"	3252	1291759	251.7
	"Black or African American"	"2054-5"	"Male"	"M"	"27 years"	"27"	3385	1252919	270.2
	"Black or African American"	"2054-5"	"Male"	"M"	"28 years"	"28"	3207	1207680	265.6
	"Black or African American"	"2054-5"	"Male"	"M"	"29 years"	"29"	3253	1168656	278.4
	"Black or African American"	"2054-5"	"Male"	"M"	"30 years"	"30"	3151	1174754	268.2
	"Black or African American"	"2054-5"	"Male"	"M"	"31 years"	"31"	3141	1146712	273.9
	"Black or African American"	"2054-5"	"Male"	"M"	"32 years"	"32"	3197	1176253	271.8
	"Black or African American"	"2054-5"	"Male"	"M"	"33 years"	"33"	3338	1203721	277.3
	"Black or African American"	"2054-5"	"Male"	"M"	"34 years"	"34"	3565	1230382	289.7
	"Black or African American"	"2054-5"	"Male"	"M"	"35 years"	"35"	3594	1257291	285.9
	"Black or African American"	"2054-5"	"Male"	"M"	"36 years"	"36"	3760	1252620	300.2
	"Black or African American"	"2054-5"	"Male"	"M"	"37 years"	"37"	4156	1238085	335.7
	"Black or African American"	"2054-5"	"Male"	"M"	"38 years"	"38"	4284	1237707	346.1
	"Black or African American"	"2054-5"	"Male"	"M"	"39 years"	"39"	4598	1253127	366.9
	"Black or African American"	"2054-5"	"Male"	"M"	"40 years"	"40"	4904	1279735	383.2
	"Black or African American"	"2054-5"	"Male"	"M"	"41 years"	"41"	5342	1305427	409.2
	"Black or African American"	"2054-5"	"Male"	"M"	"42 years"	"42"	6032	1330318	453.4
	"Black or African American"	"2054-5"	"Male"	"M"	"43 years"	"43"	6512	1337402	486.9
	"Black or African American"	"2054-5"	"Male"	"M"	"44 years"	"44"	7235	1324062	546.4
	"Black or African American"	"2054-5"	"Male"	"M"	"45 years"	"45"	7777	1308971	594.1
	"Black or African American"	"2054-5"	"Male"	"M"	"46 years"	"46"	8284	1309914	632.4
	"Black or African American"	"2054-5"	"Male"	"M"	"47 years"	"47"	9157	1298704	705.1
	"Black or African American"	"2054-5"	"Male"	"M"	"48 years"	"48"	9753	1269833	768.1
	"Black or African American"	"2054-5"	"Male"	"M"	"49 years"	"49"	10548	1231604	856.4
	"Black or African American"	"2054-5"	"Male"	"M"	"50 years"	"50"	11027	1183732	931.5
	"Black or African American"	"2054-5"	"Male"	"M"	"51 years"	"51"	11825	1154071	1024.6
	"Black or African American"	"2054-5"	"Male"	"M"	"52 years"	"52"	12349	1090531	1132.4
	"Black or African American"	"2054-5"	"Male"	"M"	"53 years"	"53"	12764	1055266	1209.6
	"Black or African American"	"2054-5"	"Male"	"M"	"54 years"	"54"	13404	1016432	1318.7
	"Black or African American"	"2054-5"	"Male"	"M"	"55 years"	"55"	13667	956654	1428.6
	"Black or African American"	"2054-5"	"Male"	"M"	"56 years"	"56"	13906	925888	1501.9
	"Black or African American"	"2054-5"	"Male"	"M"	"57 years"	"57"	14167	883262	1603.9
	"Black or African American"	"2054-5"	"Male"	"M"	"58 years"	"58"	13618	815311	1670.3
	"Black or African American"	"2054-5"	"Male"	"M"	"59 years"	"59"	13490	737228	1829.8
	"Black or African American"	"2054-5"	"Male"	"M"	"60 years"	"60"	13183	666973	1976.5
	"Black or African American"	"2054-5"	"Male"	"M"	"61 years"	"61"	12967	633609	2046.5
	"Black or African American"	"2054-5"	"Male"	"M"	"62 years"	"62"	13098	580404	2256.7
	"Black or African American"	"2054-5"	"Male"	"M"	"63 years"	"63"	13104	553509	2367.4
	"Black or African American"	"2054-5"	"Male"	"M"	"64 years"	"64"	13342	519455	2568.5
	"Black or African American"	"2054-5"	"Male"	"M"	"65 years"	"65"	13306	491567	2706.9
	"Black or African American"	"2054-5"	"Male"	"M"	"66 years"	"66"	13269	461472	2875.4
	"Black or African American"	"2054-5"	"Male"	"M"	"67 years"	"67"	13331	437621	3046.2
	"Black or African American"	"2054-5"	"Male"	"M"	"68 years"	"68"	13430	418796	3206.8
	"Black or African American"	"2054-5"	"Male"	"M"	"69 years"	"69"	13679	390712	3501.0
	"Black or African American"	"2054-5"	"Male"	"M"	"70 years"	"70"	13907	364215	3818.3
	"Black or African American"	"2054-5"	"Male"	"M"	"71 years"	"71"	13982	351095	3982.4
	"Black or African American"	"2054-5"	"Male"	"M"	"72 years"	"72"	14028	324806	4318.9
	"Black or African American"	"2054-5"	"Male"	"M"	"73 years"	"73"	13813	302486	4566.5
	"Black or African American"	"2054-5"	"Male"	"M"	"74 years"	"74"	14081	281949	4994.2
	"Black or African American"	"2054-5"	"Male"	"M"	"75 years"	"75"	14335	257346	5570.3
	"Black or African American"	"2054-5"	"Male"	"M"	"76 years"	"76"	14032	243801	5755.5
	"Black or African American"	"2054-5"	"Male"	"M"	"77 years"	"77"	14358	222987	6438.9
	"Black or African American"	"2054-5"	"Male"	"M"	"78 years"	"78"	14325	207648	6898.7
	"Black or African American"	"2054-5"	"Male"	"M"	"79 years"	"79"	13863	187297	7401.6
	"Black or African American"	"2054-5"	"Male"	"M"	"80 years"	"80"	13972	168796	8277.4
	"Black or African American"	"2054-5"	"Male"	"M"	"81 years"	"81"	13363	154199	8666.1
	"Black or African American"	"2054-5"	"Male"	"M"	"82 years"	"82"	13124	136791	9594.2
	"Black or African American"	"2054-5"	"Male"	"M"	"83 years"	"83"	12454	121261	10270.4
	"Black or African American"	"2054-5"	"Male"	"M"	"84 years"	"84"	11620	104329	11137.8
	"Black or African American"	"2054-5"	"Male"	"M"	"85 years"	"85"	10763	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"86 years"	"86"	9723	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"87 years"	"87"	8573	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"88 years"	"88"	7626	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"89 years"	"89"	6716	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"90 years"	"90"	5956	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"91 years"	"91"	4975	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"92 years"	"92"	4358	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"93 years"	"93"	3609	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"94 years"	"94"	2985	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"95 years"	"95"	2281	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"96 years"	"96"	1749	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"97 years"	"97"	1332	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"98 years"	"98"	1052	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"99 years"	"99"	774	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"100+ years"	"100"	1712	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"Not Stated"	"NS"	92	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"< 1 year"	"0"	28032	5381200	520.9
	"White"	"2106-3"	"Female"	"F"	"1 year"	"1"	2164	5368837	40.3
	"White"	"2106-3"	"Female"	"F"	"2 years"	"2"	1280	5385445	23.8
	"White"	"2106-3"	"Female"	"F"	"3 years"	"3"	936	5454165	17.2
	"White"	"2106-3"	"Female"	"F"	"4 years"	"4"	758	5496040	13.8
	"White"	"2106-3"	"Female"	"F"	"5 years"	"5"	736	5518881	13.3
	"White"	"2106-3"	"Female"	"F"	"6 years"	"6"	697	5505611	12.7
	"White"	"2106-3"	"Female"	"F"	"7 years"	"7"	605	5539096	10.9
	"White"	"2106-3"	"Female"	"F"	"8 years"	"8"	611	5561695	11.0
	"White"	"2106-3"	"Female"	"F"	"9 years"	"9"	606	5639543	10.7
	"White"	"2106-3"	"Female"	"F"	"10 years"	"10"	648	5866238	11.0
	"White"	"2106-3"	"Female"	"F"	"11 years"	"11"	606	5900922	10.3
	"White"	"2106-3"	"Female"	"F"	"12 years"	"12"	704	6053560	11.6
	"White"	"2106-3"	"Female"	"F"	"13 years"	"13"	825	6157814	13.4
	"White"	"2106-3"	"Female"	"F"	"14 years"	"14"	1087	6252576	17.4
	"White"	"2106-3"	"Female"	"F"	"15 years"	"15"	1448	6369324	22.7
	"White"	"2106-3"	"Female"	"F"	"16 years"	"16"	2260	6425192	35.2
	"White"	"2106-3"	"Female"	"F"	"17 years"	"17"	2560	6402635	40.0
	"White"	"2106-3"	"Female"	"F"	"18 years"	"18"	2931	6430066	45.6
	"White"	"2106-3"	"Female"	"F"	"19 years"	"19"	2926	6413529	45.6
	"White"	"2106-3"	"Female"	"F"	"20 years"	"20"	2892	6310720	45.8
	"White"	"2106-3"	"Female"	"F"	"21 years"	"21"	3044	6290259	48.4
	"White"	"2106-3"	"Female"	"F"	"22 years"	"22"	2965	6248827	47.4
	"White"	"2106-3"	"Female"	"F"	"23 years"	"23"	2968	6245621	47.5
	"White"	"2106-3"	"Female"	"F"	"24 years"	"24"	3054	6243421	48.9
	"White"	"2106-3"	"Female"	"F"	"25 years"	"25"	3113	6242344	49.9
	"White"	"2106-3"	"Female"	"F"	"26 years"	"26"	3307	6109175	54.1
	"White"	"2106-3"	"Female"	"F"	"27 years"	"27"	3202	6017694	53.2
	"White"	"2106-3"	"Female"	"F"	"28 years"	"28"	3314	5786232	57.3
	"White"	"2106-3"	"Female"	"F"	"29 years"	"29"	3489	5587762	62.4
	"White"	"2106-3"	"Female"	"F"	"30 years"	"30"	3593	5607007	64.1
	"White"	"2106-3"	"Female"	"F"	"31 years"	"31"	3807	5556160	68.5
	"White"	"2106-3"	"Female"	"F"	"32 years"	"32"	4143	5750705	72.0
	"White"	"2106-3"	"Female"	"F"	"33 years"	"33"	4420	6003086	73.6
	"White"	"2106-3"	"Female"	"F"	"34 years"	"34"	5003	6238303	80.2
	"White"	"2106-3"	"Female"	"F"	"35 years"	"35"	5809	6453490	90.0
	"White"	"2106-3"	"Female"	"F"	"36 years"	"36"	6171	6596382	93.6
	"White"	"2106-3"	"Female"	"F"	"37 years"	"37"	6884	6666973	103.3
	"White"	"2106-3"	"Female"	"F"	"38 years"	"38"	7503	6694381	112.1
	"White"	"2106-3"	"Female"	"F"	"39 years"	"39"	8429	6809866	123.8
	"White"	"2106-3"	"Female"	"F"	"40 years"	"40"	9552	7017850	136.1
	"White"	"2106-3"	"Female"	"F"	"41 years"	"41"	10735	7309172	146.9
	"White"	"2106-3"	"Female"	"F"	"42 years"	"42"	12331	7555706	163.2
	"White"	"2106-3"	"Female"	"F"	"43 years"	"43"	14011	7826124	179.0
	"White"	"2106-3"	"Female"	"F"	"44 years"	"44"	15629	7944219	196.7
	"White"	"2106-3"	"Female"	"F"	"45 years"	"45"	17056	8000137	213.2
	"White"	"2106-3"	"Female"	"F"	"46 years"	"46"	18773	8093494	232.0
	"White"	"2106-3"	"Female"	"F"	"47 years"	"47"	20217	8150868	248.0
	"White"	"2106-3"	"Female"	"F"	"48 years"	"48"	21706	8080461	268.6
	"White"	"2106-3"	"Female"	"F"	"49 years"	"49"	22963	8035327	285.8
	"White"	"2106-3"	"Female"	"F"	"50 years"	"50"	24694	7930907	311.4
	"White"	"2106-3"	"Female"	"F"	"51 years"	"51"	26053	7845286	332.1
	"White"	"2106-3"	"Female"	"F"	"52 years"	"52"	27241	7652572	356.0
	"White"	"2106-3"	"Female"	"F"	"53 years"	"53"	28201	7533082	374.4
	"White"	"2106-3"	"Female"	"F"	"54 years"	"54"	29802	7389146	403.3
	"White"	"2106-3"	"Female"	"F"	"55 years"	"55"	31599	7200337	438.9
	"White"	"2106-3"	"Female"	"F"	"56 years"	"56"	33801	7131853	473.9
	"White"	"2106-3"	"Female"	"F"	"57 years"	"57"	36886	7159818	515.2
	"White"	"2106-3"	"Female"	"F"	"58 years"	"58"	38604	6827605	565.4
	"White"	"2106-3"	"Female"	"F"	"59 years"	"59"	40572	6486884	625.4
	"White"	"2106-3"	"Female"	"F"	"60 years"	"60"	42533	6145249	692.1
	"White"	"2106-3"	"Female"	"F"	"61 years"	"61"	45052	5962069	755.6
	"White"	"2106-3"	"Female"	"F"	"62 years"	"62"	46082	5468202	842.7
	"White"	"2106-3"	"Female"	"F"	"63 years"	"63"	48837	5312043	919.4
	"White"	"2106-3"	"Female"	"F"	"64 years"	"64"	50957	5090339	1001.1
	"White"	"2106-3"	"Female"	"F"	"65 years"	"65"	53202	4871122	1092.2
	"White"	"2106-3"	"Female"	"F"	"66 years"	"66"	54520	4565332	1194.2
	"White"	"2106-3"	"Female"	"F"	"67 years"	"67"	56902	4359113	1305.4
	"White"	"2106-3"	"Female"	"F"	"68 years"	"68"	59422	4209751	1411.5
	"White"	"2106-3"	"Female"	"F"	"69 years"	"69"	63488	4094971	1550.4
	"White"	"2106-3"	"Female"	"F"	"70 years"	"70"	68025	3928566	1731.5
	"White"	"2106-3"	"Female"	"F"	"71 years"	"71"	72299	3830868	1887.3
	"White"	"2106-3"	"Female"	"F"	"72 years"	"72"	78407	3747822	2092.1
	"White"	"2106-3"	"Female"	"F"	"73 years"	"73"	84437	3690917	2287.7
	"White"	"2106-3"	"Female"	"F"	"74 years"	"74"	91549	3624914	2525.5
	"White"	"2106-3"	"Female"	"F"	"75 years"	"75"	99100	3570517	2775.5
	"White"	"2106-3"	"Female"	"F"	"76 years"	"76"	108793	3560095	3055.9
	"White"	"2106-3"	"Female"	"F"	"77 years"	"77"	117919	3500871	3368.3
	"White"	"2106-3"	"Female"	"F"	"78 years"	"78"	128153	3424658	3742.1
	"White"	"2106-3"	"Female"	"F"	"79 years"	"79"	137958	3329553	4143.4
	"White"	"2106-3"	"Female"	"F"	"80 years"	"80"	148610	3218221	4617.8
	"White"	"2106-3"	"Female"	"F"	"81 years"	"81"	158786	3097947	5125.5
	"White"	"2106-3"	"Female"	"F"	"82 years"	"82"	169647	2939307	5771.7
	"White"	"2106-3"	"Female"	"F"	"83 years"	"83"	178198	2779259	6411.7
	"White"	"2106-3"	"Female"	"F"	"84 years"	"84"	185023	2560600	7225.8
	"White"	"2106-3"	"Female"	"F"	"85 years"	"85"	188479	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"86 years"	"86"	190435	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"87 years"	"87"	187920	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"88 years"	"88"	184403	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"89 years"	"89"	178071	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"90 years"	"90"	171482	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"91 years"	"91"	160313	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"92 years"	"92"	147182	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"93 years"	"93"	131106	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"94 years"	"94"	113450	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"95 years"	"95"	95835	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"96 years"	"96"	77982	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"97 years"	"97"	61951	Not Applicable	Not Applicable
	"White"	"2106-3"	"Female"	"F"	"98 years"	"98"	47216	Not Applicable	Not Applicable
